#{"t_start": 1781566582.5097396, "env_id": "None"}
r,l,t
-1287.632702,500,2.864032
-1462.646296,500,4.616776
-618.690417,500,6.36811
-899.508256,500,8.144034
-1357.358655,500,10.714739
-992.741247,343,11.929464
-1246.572985,500,13.714636
-2155.21404,500,15.458134
-2408.983023,500,18.009113
-801.744337,425,19.473154
-1146.205711,442,21.036978
-1006.847482,454,22.717786
-1564.016245,500,25.254443
-637.31339,328,26.39186
-804.893706,431,27.971148
-353.762528,308,29.060741
-662.433399,409,30.480594
-461.792385,290,31.515604
-209.214716,229,32.327587
-502.48879,262,34.124691
-365.068128,252,35.035905
-550.443261,500,36.77084
-111.003482,178,37.435375
-896.143082,352,38.732194
-365.739959,252,39.615421
-782.565718,311,49.274241
-452.06835,301,50.335782
-196.412124,179,50.969414
-162.673356,230,51.810071
-269.189162,239,52.65673
-601.876845,308,53.788612
-373.877904,348,55.036902
-663.040206,433,57.329267
-261.07287,182,58.003122
-142.274607,187,58.678236
-229.439026,185,59.380214
-144.198715,199,60.074819
-450.755981,233,60.90002
-590.014192,197,61.624723
-436.659417,310,62.738095
-191.193104,178,63.401065
-475.143687,463,65.833931
-352.220886,153,66.427772
-131.928579,157,67.000041
-121.87679,115,67.438991
-201.102256,207,68.203563
-303.127571,206,68.963891
-135.339751,174,69.607845
-351.075355,214,70.385207
-288.420356,173,71.031356
-510.966926,290,72.061797
-104.76557,187,72.757262
-286.615524,189,74.222317
-219.415151,127,74.717111
-358.460509,195,75.416289
-281.019459,195,76.136517
-247.089738,205,76.891502
-246.206962,187,77.595492
-126.140849,176,78.223819
-111.830874,190,78.939213
-286.612252,171,79.577081
-221.371632,182,80.223187
-426.660776,191,80.905597
-300.787326,238,82.530848
-169.233248,184,83.219728
-135.605956,195,83.912194
-186.421189,236,84.819959
-324.932207,208,85.570399
-235.821845,229,86.391079
-181.401101,149,86.933268
-263.959545,176,87.5795
-239.945135,216,93.091818
-81.358577,204,93.867346
-390.484091,170,95.29489
-153.374023,165,95.927779
-112.110985,131,96.41123
-118.283437,159,97.011037
-163.636257,137,97.51356
-85.10428,142,98.034648
-290.254574,211,98.816551
-93.5618,178,99.461791
-105.056779,186,100.164293
-211.167248,169,100.777058
-367.567873,206,101.547315
-335.500094,183,102.230658
-136.5002,149,103.629682
-453.958687,155,104.217005
-116.052666,111,104.633223
-114.787227,161,105.202765
-96.681611,142,105.72941
-105.376499,131,106.242824
-151.188166,124,106.698181
-94.18795,128,107.171945
-159.372888,151,107.744179
-86.230118,126,108.211941
-146.973771,120,108.657542
-290.314194,165,109.277749
-68.975234,109,109.679885
-125.840735,129,110.157326
-137.728569,121,110.602989
-151.430242,153,111.185743
-100.832709,133,112.444898
-128.579763,98,112.864443
-126.205281,133,113.34972
-110.966212,100,113.728276
-163.064097,133,114.21272
-98.323692,120,114.67866
-72.171886,144,115.206558
-98.695265,98,115.572136
-133.258265,137,116.098196
-195.24802,114,116.52952
-126.470272,119,116.97739
-200.374414,110,117.386462
-268.596815,142,117.928815
-161.65587,110,118.342479
-134.081378,101,118.726504
-123.946152,117,119.160887
-184.56384,121,119.630034
-116.866847,89,120.717988
-74.22286,142,121.268825
-170.925218,97,121.64451
-176.04617,117,122.079133
-141.558192,93,122.432011
-173.727983,136,122.960287
-210.486724,125,123.418839
-126.764464,132,123.907932
-139.516348,97,124.297934
-130.775496,101,124.683628
-99.337661,87,125.017811
-131.793483,110,125.433906
-353.238821,138,125.973148
-149.700359,101,126.3651
-89.303565,88,126.711578
-98.25739,112,127.127755
-149.852967,116,127.593851
-217.896299,99,127.97173
-135.135048,105,129.142043
-104.005431,104,129.611721
-141.192943,94,129.967678
-122.697877,86,130.287846
-128.791994,79,130.603389
-230.03185,103,130.986032
-132.080525,97,131.378452
-130.140123,95,131.738539
-86.567446,92,132.080819
-75.375504,101,132.45988
-179.613385,110,132.891533
-116.894459,99,133.274889
-138.1093,93,133.64382
-84.859775,98,134.012539
-96.771893,105,137.404215
-94.461325,99,137.793397
-95.323999,104,138.182549
-120.516204,105,138.580399
-116.463568,85,138.900272
-126.721174,105,139.312704
-63.57328,122,139.759372
-119.991909,119,140.973323
-105.49879,95,141.352513
-110.651491,120,141.823565
-105.778798,100,142.197395
-149.72476,109,142.613841
-190.342716,115,143.071492
-67.311505,112,143.490447
-122.269278,90,143.837708
-114.623131,125,144.30477
